Id,Probability
1,0.06974619
2,0.054811813
3,0.015020233
4,0.083223835
5,0.096791774
6,0.035922118
7,0.04517436
8,0.03229554
9,0.00824839
10,0.39128876
11,0.012333215
12,0.02346054
13,0.008609397
14,0.049335346
15,0.045856006
16,0.018150149
17,0.02787468
18,0.019891823
19,0.19991085
20,0.057351418
21,0.01035708
22,0.010963736
23,0.010183787
24,0.4982077
25,0.069298595
26,0.017365724
27,0.09621839
28,0.010824441
29,0.04666433
30,0.024343159
31,0.052998424
32,0.010473003
33,0.014036939
34,0.06461831
35,0.34857902
36,0.045815375
37,0.032519076
38,0.017101634
39,0.014826875
40,0.047213033
41,0.33621228
42,0.2561031
43,0.06534146
44,0.009209313
45,0.050669845
46,0.010287812
47,0.009801705
48,0.01908793
49,0.015299436
50,0.03262356
51,0.014831925
52,0.013240417
53,0.013181556
54,0.060599305
55,0.016126705
56,0.07457492
57,0.010197515
58,0.1131745
59,0.10326361
60,0.09085953
61,0.020456456
62,0.010411595
63,0.020782474
64,0.012761624
65,0.020534806
66,0.017677603
67,0.015935667
68,0.12968963
69,0.008293241
70,0.6528449
71,0.015989281
72,0.12295638
73,0.0091078915
74,0.172474
75,0.015089577
76,0.031519447
77,0.08289322
78,0.034581807
79,0.018797679
80,0.019111527
81,0.01574989
82,0.013434091
83,0.03477791
84,0.008684283
85,0.018305356
86,0.016090915
87,0.062170975
88,0.011373099
89,0.03532526
90,0.02657986
91,0.057215665
92,0.012783446
93,0.013547488
94,0.020371512
95,0.007301025
96,0.10158209
97,0.031015802
98,0.059746303
99,0.015175419
100,0.018854339
101,0.058208693
102,0.07674982
103,0.00986046
104,0.049784306
105,0.04412536
106,0.026765436
107,0.33952063
108,0.01358101
109,0.0077324677
110,0.018232457
111,0.019577514
112,0.0206871
113,0.026724264
114,0.36591554
115,0.08880879
116,0.010575993
117,0.008565627
118,0.0837631
119,0.012135414
120,0.009227171
121,0.014264339
122,0.053131893
123,0.014319621
124,0.5017747
125,0.012548755
126,0.0123161245
127,0.008504314
128,0.016941154
129,0.009994054
130,0.043073658
131,0.028369244
132,0.07652082
133,0.009990147
134,0.07912878
135,0.11935395
136,0.010164618
137,0.17464265
138,0.042765595
139,0.0077965586
140,0.014967561
141,0.007898523
142,0.015355344
143,0.009111854
144,0.018138247
145,0.3099835
146,0.015632665
147,0.00879081
148,0.095332965
149,0.01076158
150,0.045803763
151,0.008079309
152,0.014189035
153,0.010352593
154,0.013681032
155,0.016206387
156,0.019284595
157,0.06207984
158,0.00792976
159,0.096938334
160,0.021819193
161,0.0073659215
162,0.018017672
163,0.016959572
164,0.064071506
165,0.0147891585
166,0.023482753
167,0.6092107
168,0.021177247
169,0.19752988
170,0.012133217
171,0.0076028546
172,0.014894871
173,0.015316954
174,0.046554536
175,0.018453065
176,0.24813515
177,0.021348704
178,0.04997489
179,0.01159721
180,0.013765598
181,0.048359595
182,0.013407739
183,0.022110946
184,0.012615524
185,0.112842135
186,0.011912592
187,0.012513356
188,0.03359117
189,0.054691523
190,0.02254267
191,0.017341267
192,0.041257873
193,0.014098521
194,0.07722511
195,0.014774859
196,0.031130858
197,0.013333553
198,0.009997413
199,0.012006423
200,0.0099403225
201,0.081785485
202,0.022702005
203,0.2998051
204,0.033159982
205,0.017849479
206,0.011105463
207,0.0136593655
208,0.009847809
209,0.09218882
210,0.009991439
211,0.08747584
212,0.027901448
213,0.01755855
214,0.012256007
215,0.01973436
216,0.07547281
217,0.010873605
218,0.08215746
219,0.016297799
220,0.008769488
221,0.017422918
222,0.010612849
223,0.01750209
224,0.01356036
225,0.011434887
226,0.070005484
227,0.011248223
228,0.068960965
229,0.06844856
230,0.40903652
231,0.20541456
232,0.012399398
233,0.0105143525
234,0.014158989
235,0.008000116
236,0.15804145
237,0.06591511
238,0.010094372
239,0.017963093
240,0.019841723
241,0.052046463
242,0.01450005
243,0.00760343
244,0.023622345
245,0.085389026
246,0.0105977515
247,0.03496383
248,0.0088019995
249,0.01385763
250,0.2871437
251,0.035717428
252,0.21697134
253,0.0089351265
254,0.06525284
255,0.008897075
256,0.011056784
257,0.048597384
258,0.15657218
259,0.045754578
260,0.13755648
261,0.010871334
262,0.019577142
263,0.008012284
264,0.046033323
265,0.081978016
266,0.019602688
267,0.069818854
268,0.046458542
269,0.2136513
270,0.009611733
271,0.026731092
272,0.030800844
273,0.009715879
274,0.012516247
275,0.009355371
276,0.024686856
277,0.016701503
278,0.011415392
279,0.065077305
280,0.02715792
281,0.6351733
282,0.040765513
283,0.055997327
284,0.012431445
285,0.013446432
286,0.011369418
287,0.01647819
288,0.03751126
289,0.07247245
290,0.07840854
291,0.30749935
292,0.008675588
293,0.04162162
294,0.012970368
295,0.0082609095
296,0.031416435
297,0.009731023
298,0.027498242
299,0.007953219
300,0.011310948
301,0.076945424
302,0.009405663
303,0.0142145865
304,0.010454335
305,0.41612792
306,0.03702771
307,0.01019599
308,0.33776245
309,0.26967654
310,0.014024916
